bin#	bin_center #_of_events v2_2	err v2_4 err
0 5.000000e+00 1.700210e+05 7.986932e-02 1.158933e-04 1.911550e-01 1.891028e-05
1 1.500000e+01 1.923690e+05 7.448139e-02 2.531123e-05 9.695358e-02 2.401118e-05
2 2.500000e+01 1.504220e+05 7.341208e-02 1.125746e-05 -1.217009e-01 4.984322e-06
3 3.500000e+01 1.228560e+05 7.464431e-02 6.724817e-06 -1.257338e-01 2.835129e-06
4 4.500000e+01 1.037040e+05 7.452767e-02 4.727288e-06 -1.225874e-01 2.125511e-06
5 5.500000e+01 9.103500e+04 7.610060e-02 3.515125e-06 -1.188043e-01 1.846214e-06
6 6.500000e+01 8.181700e+04 7.666750e-02 2.790230e-06 -1.155533e-01 1.628419e-06
7 7.500000e+01 7.364100e+04 7.706439e-02 2.323522e-06 -1.120452e-01 1.527599e-06
8 8.500000e+01 6.825000e+04 7.789559e-02 1.948735e-06 -1.088485e-01 1.440711e-06
9 9.500000e+01 6.315000e+04 7.754210e-02 1.709439e-06 -1.059596e-01 1.354833e-06
10 1.050000e+02 5.886100e+04 7.741876e-02 1.508583e-06 -1.028614e-01 1.286750e-06
11 1.150000e+02 5.575200e+04 7.733352e-02 1.358686e-06 -1.002953e-01 1.236787e-06
12 1.250000e+02 5.279300e+04 7.691371e-02 1.198961e-06 -9.780926e-02 1.160234e-06
13 1.350000e+02 5.010000e+04 7.607161e-02 1.078884e-06 -9.509879e-02 1.102672e-06
14 1.450000e+02 4.776600e+04 7.576884e-02 1.118533e-06 -9.843853e-02 1.051502e-06
15 1.550000e+02 4.625700e+04 7.528825e-02 9.109424e-07 -9.100223e-02 1.079488e-06
16 1.650000e+02 4.364600e+04 7.382955e-02 8.631229e-07 -8.886312e-02 9.881607e-07
17 1.750000e+02 4.253000e+04 7.269464e-02 8.259634e-07 -8.637807e-02 9.686065e-07
18 1.850000e+02 4.116300e+04 7.185180e-02 7.664109e-07 -8.434766e-02 9.420112e-07
19 1.950000e+02 3.952300e+04 7.093164e-02 7.008196e-07 -8.293204e-02 8.844210e-07
20 2.050000e+02 3.806100e+04 6.988590e-02 6.619795e-07 -8.096740e-02 8.416798e-07
21 2.150000e+02 3.710900e+04 6.804394e-02 5.995445e-07 -7.902672e-02 7.727413e-07
22 2.250000e+02 3.644100e+04 6.745550e-02 5.744782e-07 -7.760149e-02 7.381204e-07
23 2.350000e+02 3.539700e+04 6.511804e-02 5.396512e-07 -7.558955e-02 7.005870e-07
24 2.450000e+02 3.440000e+04 6.433979e-02 5.106283e-07 -7.429239e-02 7.088688e-07
25 2.550000e+02 3.329400e+04 6.331756e-02 5.004552e-07 -7.334283e-02 6.753802e-07
26 2.650000e+02 3.256700e+04 6.152033e-02 5.335949e-07 -7.130603e-02 6.788675e-07
27 2.750000e+02 3.202000e+04 6.008423e-02 4.930540e-07 -7.022256e-02 6.109121e-07
28 2.850000e+02 3.148600e+04 5.850604e-02 4.150442e-07 -6.859238e-02 5.447004e-07
29 2.950000e+02 3.059900e+04 5.704898e-02 3.857303e-07 -6.707298e-02 4.614488e-07
30 3.050000e+02 3.056900e+04 5.624189e-02 6.475592e-07 -9.727340e-02 7.497972e-07
31 3.150000e+02 2.950400e+04 5.413674e-02 3.590117e-07 -6.466772e-02 4.167420e-07
32 3.250000e+02 2.834900e+04 5.243687e-02 3.444771e-07 -6.354980e-02 4.052961e-07
33 3.350000e+02 2.847900e+04 5.026758e-02 3.386685e-07 -6.187578e-02 3.563241e-07
34 3.450000e+02 2.777900e+04 4.924064e-02 3.389660e-07 -6.096856e-02 3.815074e-07
35 3.550000e+02 2.731800e+04 4.770159e-02 3.890660e-07 -5.997646e-02 3.631031e-07
36 3.650000e+02 2.665300e+04 4.587271e-02 4.220869e-07 -5.837836e-02 4.051984e-07
37 3.750000e+02 2.637000e+04 4.376194e-02 4.062326e-07 -5.690544e-02 4.587360e-07
